target_cwe,layer,feature_id,original_statistical_rank,statistical_score,qualified_unsafe_n,repair_count,repair_rate,target_cwe_remaining_count,unsafe_invalid_count,invalid_rate,safe_n,safe_corruption_count,corruption_rate,safe_invalid_count,scanner_failure_count,off_target_or_new_finding_prompt_count,validation_status,failed_gates
CWE-327,20,13580,13,2.327461004257202,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,9591,1,13.096331596374512,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,11865,2,6.950944423675537,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,15981,3,6.739831924438477,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,16190,4,6.396627426147461,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,10061,5,6.185647964477539,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,481,6,5.45035457611084,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,7547,7,4.935259819030762,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,6156,8,4.929762840270996,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,724,10,4.149898529052734,15,2,0.13333333333333333,13,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-327,31,5488,11,3.8230326175689697,15,1,0.06666666666666667,14,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,9,15457,1,2.955050230026245,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,15020,3,2.7306008338928223,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,14965,4,2.655982494354248,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,15892,5,2.437211751937866,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,12223,7,2.159518241882324,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,15071,8,1.9319039583206177,10,1,0.1,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,9,10518,9,1.8097267150878906,10,1,0.1,9,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,9,10376,10,1.7823385000228882,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,10260,11,1.742851972579956,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,9,3104,12,1.73097562789917,10,0,0.0,10,0,0.0,5,0,0.0,0,0,0,NOT_VALIDATED_NO_REPAIR,NO_REPAIR
CWE-89,20,599,2,7.093850612640381,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,14471,3,5.50606107711792,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,4650,4,4.870210647583008,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,7967,5,3.9331064224243164,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,529,7,3.185303211212158,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,13200,9,2.7662315368652344,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,13873,12,2.6348845958709717,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,3045,13,2.4524765014648438,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,12328,15,2.300285816192627,10,4,0.4,6,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,20,15474,16,2.280766010284424,10,3,0.3,7,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,9591,1,18.017620086669922,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,7547,3,6.020195960998535,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,14093,5,5.45626163482666,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,6156,6,5.269052982330322,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,724,7,5.071123123168945,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,14026,8,4.93017578125,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,4159,9,4.927599906921387,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,14104,11,4.690937519073486,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,5168,12,4.675187587738037,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
CWE-89,31,16190,13,4.586465835571289,10,2,0.2,8,0,0.0,5,0,0.0,0,0,0,VALIDATED,
