method,seed,information_tier,disposition,cwe_id,cwe_type,b0_vulnerable_denominator,estimability,repair_count,corrvrr,corrected_vulnerable_count,current_target_finding_count,b0_safe_source_cwe_denominator,corruption_count,corruption_rate,source_population_count,validity_count,validity_rate,strict_empty_count,whitespace_only_count,scanner_skipped_count,generation_failure_count
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,0,0.000000,52,52,1.000000,0,0,11,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B1,43,METADATA_FREE_PROMPTING,NEW,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-120,DERIVATION,14,ESTIMABLE,10,0.714286,4,8,39,3,0.076923,48,48,1.000000,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-327,DERIVATION,15,ESTIMABLE,5,0.333333,10,16,17,5,0.294118,34,34,1.000000,0,0,14,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-89,DERIVATION,3,EXPLORATORY_DESCRIPTIVE_N_LT_5,3,1.000000,0,0,7,0,0.000000,16,16,1.000000,0,0,6,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,1,0.024390,52,52,1.000000,0,0,11,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
B1,44,METADATA_FREE_PROMPTING,NEW,CWE-290,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,12,12,1.000000,0,0,12,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-120,DERIVATION,14,ESTIMABLE,10,0.714286,4,5,37,0,0.000000,48,48,1.000000,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-327,DERIVATION,12,ESTIMABLE,2,0.166667,10,11,19,0,0.000000,34,34,1.000000,0,0,14,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-89,DERIVATION,2,EXPLORATORY_DESCRIPTIVE_N_LT_5,2,1.000000,0,0,8,0,0.000000,16,16,1.000000,0,0,6,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-338,EXPLORATORY,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,41,0,0.000000,52,52,1.000000,0,0,11,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-79,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,5,0,0.000000,5,5,1.000000,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-125,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-787,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-190,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-476,DERIVATION,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,0,0,NOT_ESTIMABLE,0,0,NOT_ESTIMABLE,0,0,0,0
B2-alpha20,42,ORACLE_CWE,DESCRIPTIVE_SINGLE_SEED,CWE-22,HELDOUT,0,NOT_ESTIMABLE,0,NOT_ESTIMABLE,0,0,9,0,0.000000,10,10,1.000000,0,0,1,0
