feature_id,layer,cwe_id,score,hist_dist,delta_mu,ks_stat,freq_unsafe,freq_safe,kept,source
5320,16,CWE-120,0.154,0.0714,0.278,0.0714,0.0714,0.006,True,cyber_dev
16656,16,CWE-120,0.1519,0.1,0.2299,0.1,0.0714,0.1409,True,cyber_dev
4576,16,CWE-120,0.1519,0.0714,0.2727,0.0714,0.0714,0.0015,True,cyber_dev
11877,16,CWE-120,0.1517,0.1857,0.1434,0.1,0.3571,0.2442,True,cyber_dev
24519,16,CWE-120,0.151,0.0714,0.2703,0.0714,0.0714,0.0053,True,cyber_dev
22911,16,CWE-120,0.1495,0.0857,0.2452,0.0857,0.1429,0.1778,False,cyber_dev
8362,16,CWE-120,0.1492,0.1429,0.1945,0.0714,0.2857,0.2125,False,cyber_dev
11499,16,CWE-120,0.1492,0.0714,0.2659,0.0714,0.0714,0.0023,False,cyber_dev
10050,16,CWE-120,0.1486,0.0714,0.2643,0.0714,0.0714,0.0045,False,cyber_dev
11222,16,CWE-120,0.1485,0.0714,0.264,0.0714,0.0714,0.0038,False,cyber_dev
15506,16,CWE-120,0.146,0.0714,0.2578,0.0714,0.0714,0.0045,False,cyber_dev
10214,16,CWE-120,0.1442,0.0857,0.232,0.0857,0.0,0.0482,False,cyber_dev
24686,16,CWE-120,0.1441,0.0857,0.2316,0.0857,0.1429,0.1778,False,cyber_dev
1161,16,CWE-120,0.1436,0.0714,0.2518,0.0714,0.0714,0.0038,False,cyber_dev
24244,16,CWE-120,0.1416,0.0714,0.2468,0.0714,0.0714,0.0136,False,cyber_dev
6996,16,CWE-120,0.1407,0.0714,0.2446,0.0714,0.0714,0.0023,False,cyber_dev
228,16,CWE-120,0.1403,0.0714,0.2435,0.0714,0.0714,0.0083,False,cyber_dev
26645,16,CWE-120,0.1399,0.0714,0.2427,0.0714,0.0714,0.0015,False,cyber_dev
7328,16,CWE-120,0.1398,0.0714,0.2423,0.0714,0.0714,0.0663,False,cyber_dev
9355,16,CWE-120,0.1389,0.0714,0.2401,0.0714,0.0714,0.0106,False,cyber_dev
20918,16,CWE-120,0.1379,0.0857,0.2162,0.0857,0.1429,0.1778,False,cyber_dev
5538,16,CWE-120,0.1379,0.0714,0.2375,0.0714,0.0714,0.003,False,cyber_dev
27029,16,CWE-120,0.1378,0.0714,0.2374,0.0714,0.0714,0.0015,False,cyber_dev
1381,16,CWE-120,0.1375,0.0857,0.2151,0.0857,0.1429,0.1778,False,cyber_dev
13382,16,CWE-120,0.1374,0.0857,0.2149,0.0857,0.1429,0.1801,False,cyber_dev
25458,16,CWE-120,0.1374,0.0714,0.2364,0.0714,0.0714,0.003,False,cyber_dev
6312,16,CWE-120,0.1372,0.1286,0.1643,0.1,0.1429,0.0829,False,cyber_dev
5294,16,CWE-120,0.1369,0.0714,0.2351,0.0714,0.0,0.0407,False,cyber_dev
25834,16,CWE-120,0.1369,0.0714,0.235,0.0714,0.0714,0.0106,False,cyber_dev
31316,16,CWE-120,0.1368,0.0714,0.2349,0.0714,0.0714,0.0023,False,cyber_dev
10492,16,CWE-120,0.1364,0.0857,0.2125,0.0857,0.1429,0.1809,False,cyber_dev
7269,16,CWE-120,0.1355,0.0714,0.2317,0.0714,0.0714,0.0151,False,cyber_dev
23811,16,CWE-120,0.1345,0.0857,0.2076,0.0857,0.1429,0.1778,False,cyber_dev
6503,16,CWE-120,0.1342,0.0714,0.2283,0.0714,0.0714,0.006,False,cyber_dev
5225,16,CWE-120,0.1341,0.0571,0.2496,0.0571,0.0714,0.0181,False,cyber_dev
11782,16,CWE-120,0.1341,0.0857,0.2067,0.0857,0.1429,0.1778,False,cyber_dev
9342,16,CWE-120,0.1335,0.2,0.091,0.0857,0.3571,0.4295,False,cyber_dev
10726,16,CWE-120,0.1328,0.0714,0.2249,0.0714,0.0714,0.0106,False,cyber_dev
8067,16,CWE-120,0.1322,0.0714,0.2235,0.0714,0.0714,0.0,False,cyber_dev
4325,16,CWE-120,0.1321,0.0857,0.2017,0.0857,0.1429,0.1786,False,cyber_dev
17868,16,CWE-120,0.1319,0.0857,0.2011,0.0857,0.1429,0.1778,False,cyber_dev
5834,16,CWE-120,0.1308,0.0857,0.1985,0.0857,0.1429,0.1778,False,cyber_dev
3763,16,CWE-120,0.1307,0.0714,0.2196,0.0714,0.0714,0.0015,False,cyber_dev
5409,16,CWE-120,0.1302,0.0714,0.2182,0.0714,0.0714,0.0053,False,cyber_dev
5035,16,CWE-120,0.1302,0.0714,0.2182,0.0714,0.0714,0.0015,False,cyber_dev
20375,16,CWE-120,0.1301,0.0714,0.218,0.0714,0.0714,0.0301,False,cyber_dev
4978,16,CWE-120,0.1299,0.0714,0.2175,0.0714,0.0714,0.0106,False,cyber_dev
27973,16,CWE-120,0.1296,0.0571,0.2311,0.0714,0.0714,0.0339,False,cyber_dev
686,16,CWE-120,0.1293,0.0571,0.2377,0.0571,0.0,0.0136,False,cyber_dev
16943,16,CWE-120,0.1293,0.0714,0.2161,0.0714,0.0714,0.0008,False,cyber_dev
940,16,CWE-120,0.1293,0.0714,0.2161,0.0714,0.0714,0.0008,False,cyber_dev
30478,16,CWE-120,0.1293,0.0857,0.1946,0.0857,0.1429,0.1801,False,cyber_dev
7724,16,CWE-120,0.1291,0.0857,0.1942,0.0857,0.1429,0.1778,False,cyber_dev
31569,16,CWE-120,0.1283,0.0714,0.2137,0.0714,0.0714,0.0219,False,cyber_dev
4776,16,CWE-120,0.1282,0.0714,0.2133,0.0714,0.0714,0.0151,False,cyber_dev
